stat_Year,stateName,reportName,farmType,category,categoryValue,category2,category2Value,variableId,variableName,variableSequence,variableLevel,variableGroup,variableGroupId,variableUnit,variableDesc,variableIsInValid,estimate,median,statistic,rse,unreliable_Est,dec_Disp,series,serie_Dim,series2,serie2_Dim,series_Element,serie_Element_Dim,series2_Element,serie2_Element_Dim,fips_St,survey_Abb,survey_Dim,subject_Num,subject_Dim,topic_Abb,variable,topic_Dim,report_Num,report_Dim,state
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,153323,25000.0,MEAN,5.9,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",iothfm,Other farm-related income,"{'abb': 'iothfm', 'header': 'Other farm-related income', 'desc': 'Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.', 'seq': 60, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'IOTHFM Other farm-related income'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,136908,24207.0,MEAN,6.2,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",iothfm,Other farm-related income,"{'abb': 'iothfm', 'header': 'Other farm-related income', 'desc': 'Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.', 'seq': 60, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'IOTHFM Other farm-related income'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,etot,Total cash expenses,70,1,,,Dollars per farm,"Cash expenses represent the total amount of funds paid out by the farm operation during a calendar year.  Expenses paid by landlords or parties for which a contractual agreement existed during the year are excluded from cash expenses reported for farm operations.  Marketing charges such as commissions, storage, inspection, insurance, drying, check-offs, yardage, and auction are excluded from cash expenses.",False,901094,486818.0,MEAN,2.2,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",etot,Total cash expenses,"{'abb': 'etot', 'header': 'Total cash expenses', 'desc': 'Cash expenses represent the total amount of funds paid out by the farm operation during a calendar year.  Expenses paid by landlords or parties for which a contractual agreement existed during the year are excluded from cash expenses reported for farm operations.  Marketing charges such as commissions, storage, inspection, insurance, drying, check-offs, yardage, and auction are excluded from cash expenses.', 'seq': 70, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 1, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'ETOT Total cash expenses'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,etot,Total cash expenses,70,1,,,Dollars per farm,"Cash expenses represent the total amount of funds paid out by the farm operation during a calendar year.  Expenses paid by landlords or parties for which a contractual agreement existed during the year are excluded from cash expenses reported for farm operations.  Marketing charges such as commissions, storage, inspection, insurance, drying, check-offs, yardage, and auction are excluded from cash expenses.",False,896280,495867.0,MEAN,4.0,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",etot,Total cash expenses,"{'abb': 'etot', 'header': 'Total cash expenses', 'desc': 'Cash expenses represent the total amount of funds paid out by the farm operation during a calendar year.  Expenses paid by landlords or parties for which a contractual agreement existed during the year are excluded from cash expenses reported for farm operations.  Marketing charges such as commissions, storage, inspection, insurance, drying, check-offs, yardage, and auction are excluded from cash expenses.', 'seq': 70, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 1, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'ETOT Total cash expenses'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evtot,Variable expenses,80,2,,,Dollars per farm,Expenses incurred in the production process that vary with the quantity and prices of inputs used.,False,726417,363802.0,MEAN,2.6,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evtot,Variable expenses,"{'abb': 'evtot', 'header': 'Variable expenses', 'desc': 'Expenses incurred in the production process that vary with the quantity and prices of inputs used.', 'seq': 80, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVTOT Variable expenses'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evtot,Variable expenses,80,2,,,Dollars per farm,Expenses incurred in the production process that vary with the quantity and prices of inputs used.,False,722716,371821.0,MEAN,4.2,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evtot,Variable expenses,"{'abb': 'evtot', 'header': 'Variable expenses', 'desc': 'Expenses incurred in the production process that vary with the quantity and prices of inputs used.', 'seq': 80, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVTOT Variable expenses'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evlvpur,Livestock purchases,90,3,,,Dollars per farm,"The total amount paid for livestock and poultry including commission, yardage, insurance and other associated fees. Breeding livestock treated as a depreciable capital is not included.",False,76948,0.0,MEAN,21.5,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evlvpur,Livestock purchases,"{'abb': 'evlvpur', 'header': 'Livestock purchases', 'desc': 'The total amount paid for livestock and poultry including commission, yardage, insurance and other associated fees. Breeding livestock treated as a depreciable capital is not included.', 'seq': 90, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 3, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVLVPUR Livestock purchases'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evlvpur,Livestock purchases,90,3,,,Dollars per farm,"The total amount paid for livestock and poultry including commission, yardage, insurance and other associated fees. Breeding livestock treated as a depreciable capital is not included.",False,55250,0.0,MEAN,14.8,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evlvpur,Livestock purchases,"{'abb': 'evlvpur', 'header': 'Livestock purchases', 'desc': 'The total amount paid for livestock and poultry including commission, yardage, insurance and other associated fees. Breeding livestock treated as a depreciable capital is not included.', 'seq': 90, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 3, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVLVPUR Livestock purchases'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evfeed,Feed,100,3,,,Dollars per farm,"Amount paid by the farm operation for all feed grains, hay, forages, mixed or formula feeds, concentrates, supplements, premixes, salt, minerals, animal byproducts, and all other feed additives and ingredients.",False,113619,0.0,MEAN,8.3,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evfeed,Feed,"{'abb': 'evfeed', 'header': 'Feed', 'desc': 'Amount paid by the farm operation for all feed grains, hay, forages, mixed or formula feeds, concentrates, supplements, premixes, salt, minerals, animal byproducts, and all other feed additives and ingredients.', 'seq': 100, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 3, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVFEED Feed'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evfeed,Feed,100,3,,,Dollars per farm,"Amount paid by the farm operation for all feed grains, hay, forages, mixed or formula feeds, concentrates, supplements, premixes, salt, minerals, animal byproducts, and all other feed additives and ingredients.",False,109318,0.0,MEAN,5.0,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evfeed,Feed,"{'abb': 'evfeed', 'header': 'Feed', 'desc': 'Amount paid by the farm operation for all feed grains, hay, forages, mixed or formula feeds, concentrates, supplements, premixes, salt, minerals, animal byproducts, and all other feed additives and ingredients.', 'seq': 100, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 3, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVFEED Feed'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evloth,Other livestock-related,110,3,,,Dollars per farm,"Amount paid by the farm operation during the calendar year for livestock leasing; custom feed processing, grinding or mixing of feed; bedding, litter, or straw; pasturing, grazing or custom feeding, veterinarian services or supplies, amount spent for sprays, dips, dusts or any other chemicals, sheep sheering, horse-shoeing, removal of dead animals, branding, artificial insemination and breeding fees, and performance testing.",False,16420,0.0,MEAN,10.7,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evloth,Other livestock-related,"{'abb': 'evloth', 'header': 'Other livestock-related', 'desc': 'Amount paid by the farm operation during the calendar year for livestock leasing; custom feed processing, grinding or mixing of feed; bedding, litter, or straw; pasturing, grazing or custom feeding, veterinarian services or supplies, amount spent for sprays, dips, dusts or any other chemicals, sheep sheering, horse-shoeing, removal of dead animals, branding, artificial insemination and breeding fees, and performance testing.', 'seq': 110, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 3, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVLOTH Other livestock-related'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,evloth,Other livestock-related,110,3,,,Dollars per farm,"Amount paid by the farm operation during the calendar year for livestock leasing; custom feed processing, grinding or mixing of feed; bedding, litter, or straw; pasturing, grazing or custom feeding, veterinarian services or supplies, amount spent for sprays, dips, dusts or any other chemicals, sheep sheering, horse-shoeing, removal of dead animals, branding, artificial insemination and breeding fees, and performance testing.",False,26489,0.0,MEAN,31.1,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",evloth,Other livestock-related,"{'abb': 'evloth', 'header': 'Other livestock-related', 'desc': 'Amount paid by the farm operation during the calendar year for livestock leasing; custom feed processing, grinding or mixing of feed; bedding, litter, or straw; pasturing, grazing or custom feeding, veterinarian services or supplies, amount spent for sprays, dips, dusts or any other chemicals, sheep sheering, horse-shoeing, removal of dead animals, branding, artificial insemination and breeding fees, and performance testing.', 'seq': 110, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 3, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'EVLOTH Other livestock-related'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
